id_perfil;clase;lugares
22L4UG5OWXDF6B2ONBRH55IVAA;Non-USA;Australia
233NQF3CFX3BWANGC4Z4YBU5U4;Non-USA;Bolivia
24DIB5FUI7S3RVW6T76F7AGTSE;USA only;Los Angeles
24LKK4346ZD5JJEUTB2RN5DZTA;USA only;Peoria, Illinois
24OIFR3JH3MT7P22R2CYEZWU74;Non-USA;New Zealand
24VI7XOQNL6QKFNOSSLLMNN43Q;USA only;US
25BLWRNXBM2D2534EAE74FNNSI;Non-USA;Ireland
25DKIOYVLPY7G5GKP2SR5JQ27I;Undetermined;none
25JLHCSZM4NF3CKFZGDDYLCBXE;USA only;Indiana
26IZIJK5DKGOP7ZYIGPRUOJH3A;Non-USA;Cambridge
2BMJAN4NUISS5OZC3VP7VTOURA;Non-USA;Kuwait
2BSXNI475AQOIDOOYYZW775C5E;Non-USA;Australia
2CIBQUZNMVJEFZXTQ7OD7NWV4A;Non-USA;Chennai, India
2CQZMCZ4JCJKVIXGNUT3ERNN4M;Undetermined;none
2CZKV77NJ7RVGANL4PLHQQAWHA;Non-USA;New Zealand
2DJDEZK6SFJ47IP7LJEU56H66A;Undetermined;none
2DR4KDDCIIFFU6XAB3HFXJHO3A;USA only;Colorado
2DZMDVZNSU6QUVRAFCB24CPZRA;Non-USA;Dublin, London
2E4DDELPLFPTI3CJHNSUUGFHIQ;Non-USA;Delhi
2EJNBTZVFG2LE35KRREII7AS4M;Undetermined;none
2ET2HDNI6ABALCY2KKAPTD4PSU;Non-USA;Canada
2F6AMULYOUTEEPKJ6PJTHGFIVM;Non-USA;Yemen
2G76GUMYHUOKWWOIM3NN3GOKIQ;Undetermined;none
2GG6WY3PWPWDFFEDDEVZCXHEOI;Non-USA;Australia
2GRMQH7FRC2GLRR3J7C4VW6QGI;Non-USA;Pakistan
2IQSTV2SI5JYZ4PH4S7B5UIWDI;Undetermined;none
2J6TA3YVRGRR77GM4TYTRAWPXU;World;Texas, Alaska, Germany, Alexandria, Virginia, Old Town
2JFFFTZ433FX3QO3ZH7QAMQMEQ;Non-USA;Canada, Montreal
2K4GAHCES52VQ3SDONTURB2LLQ;USA only;Pennsylvania
2KYXKNZAF3GFXNGMGFVNLRFPPQ;World;Canada, US, Virginia
2LAHT5XXQWTCM32TLIMA4THY3Q;Non-USA;Egypt
2LJ6QYPDU3DR2QSTJHLYJEKQTA;Undetermined;none
2MC2TEGANGGD5P4WJJ4LC5T5WM;Non-USA;England
2MILQTEBXGR3G3TYBO3F55L46E;Undetermined;none
2MS3TOKLHU7O426AU2GUZZPK3U;Undetermined;none
2MSYIEPC5VNKFNF75DVT5XUJQI;Non-USA;New England
2OHDFDPIWD5IYL5IGA2GPN6MMQ;USA only;Fremont, California
2OPYGK2TPNNP27NVMRJTKRECAA;Undetermined;none
2PFEJUPYSMD7ZCA35LD4RPDURI;Undetermined;none
2Q2JQVBXVPHZFB5TXZSPSOZEQM;Non-USA;Russia, Ukraine
2QHEP44RBIKM4GEIFVJPFNYEF4;USA only;Lawrence, Kansas
2QHTGMLOFVDWPWWY7PZDW2XU34;Undetermined;none
2QJLW4UBQD7ZXSGRT2O2RAD3UA;World;Dominican Republic, Hawaii
2QT67EXOAU2DPLRCZCVMI3XA7Y;World;Bangladesh, New York
2RRFA4LJMAOJGG2U237L4VIDQM;Undetermined;none
2SYRJFPO354VQJ2FZ4X5MOYXQM;Undetermined;none
2T4B7KMAPSJK2L5OGFDDBWBB44;Undetermined;none
2TUNBIKCPRZ6LS5WR6AY2N6E7E;Undetermined;none
2UDLIHFZFAVVWIEGDB6YNJHVDI;Non-USA;Chennai, India
2UJW5YWIFBPYTHKPJAO7WLL654;USA only;Hawaii, Texas
2UQWRO5OXI5AZRMB444GUAFN7A;World;Pensacola, Florida, Tampa, Las Vegas, Prague, Mexico, Canada, China
2VKOGZ7B6ZKMWUB6SEQBE5JJOQ;USA only;New Hampshire, South Boston
2XWCNL7ELBAAU5OU6FFJ5C3RIE;USA only;US
2ZC7D4U5Q2KPVCHKL7YE4BTCLA;USA only;Illinois
2ZKABB3AIMTAJZBQEVGETSLK54;Undetermined;none
327PUGCTBNBKRC5IN7NYDPOWEU;USA only;San Jose, California
32PWC5V2TP23GB6XIOP7IMKUZ4;Non-USA;London
34IMQA4WEEVSJQ2BE27VGM6ZXM;Non-USA;Netherlands
34VGA6NO64LE27O5CFQT7S76BI;Undetermined;none
35H73OH4QN67QZWMOXZIQAK5YA;USA only;Knoxville, Tennessee
35OH5MFVIGTHM5AC76UPU7J3SY;Undetermined;none
35SKW2UXLQQNFO4BDLYAXRQ4RM;Non-USA;Norway
36AIWOOZPJGNF3A7A2IBDAYZHQ;USA only;Oregon
36HILUB2V4BHBJYG5FSTKTGKJU;Undetermined;none
36RPZDNZOVMNIDB6TSMXTYDVW4;Undetermined;none
377YWW7OWSFKDZJEU44OJTBXIA;USA only;Colorado
3CMUNE7IJSRP5UTNGHJR6V7YDI;USA only;Utah
3DP3FAYHPZGAN5POZJKU4RVFHI;USA only;McAllen, Texas
3E5TLGC3JMZDYS6CERDBGCDGHQ;Non-USA;Kovilpatti, India
3EZCFGECKZSVWBBAI2SDPDXWYA;Non-USA;India, Goa
3HCXZSQ6Q6ARUFQZKWDM6RDM3E;USA only;Cincinnati, Ohio
3I53ZWKYHSX2ZVWSSBJSY4VGMU;Non-USA;Ireland
3I7XWFM6L34HYWNO72QLLTQN4E;Non-USA;Wolverhampton, England
3INJ4LZC7PNUZNQX4VMS3IK2B4;USA only;Arkansas
3JPU56GAFGKHECQD5XBAIBAI7I;Non-USA;Tehran, Iran
3KD3PMUVVBQK2E6AIMAYVOKTLU;Undetermined;none
3KEOA6GMX5HH73PO6DBWDOVXFQ;USA only;Greenville, North Carolina
3KQYN52AUQXEYWKVGFMOUQUCSM;Undetermined;none
3L4TEU7NJ345WWRBPQCPS36OIU;USA only;Texas
3LPKX5QZMJWQAI6HQ2ZW7CDWX4;Undetermined;none
3LQPLM3REC6QEDMENU6YQC7RLU;Non-USA;Scotland
3MHOTOHSN4X3IBNK5VHAIGJCEA;USA only;Helena, Montana
3MHZ3DLKDFWJQYBUATEBLRFKT4;USA only;New Jersey
3NKESMUSBCVIIGX63W44AIG7V4;Non-USA;San Juan, Puerto Rico
3NKEZJPR6PRYHSOZJI7Q7VHJTI;Undetermined;none
3NRGKBCVFY7QAEHGPGHK47AMWE;USA only;Dallas
3NUGPR552SNPJITC347JLF3RHA;Undetermined;none
3NXDHWK24C2B4LYBLNQY5THNWI;USA only;Hawaii
3O2YQWDB4WIGLA3WLB7SF4G4S4;USA only;Florida
3OEQ63KU3QVVPKLBBCODIPH2TA;Non-USA;Bedford, UK
3Q6V6UQDMO457EGYBXQALJW3MU;USA only;South California
3RNRAOBQQK3YSL3WCK5RU4CGDY;Undetermined;none
3RT5AVHZ3JTHWBJ7MGUG3BBZEA;Undetermined;none
3RVVIR22SHYINNA4XMRWUY36YE;Undetermined;none
3RYT4AQEIGJPQQ75I3BOXISNFU;Non-USA;Bedford, UK
3S7INJCABRZR3Z426DSE6SKK5E;Undetermined;none
3SPPSZA6PCIIEQTAZBUU42SCAY;Undetermined;none
3TYCUFULUSYIX265NTWX5FOPFM;USA only;Sedona, Arizona
3USKCZ7DNW2FEAJ6EBAUXNEGO4;Non-USA;London
3VO6GXQ6HG5JAVHLR2NFDMFHY4;Undetermined;none
3W2PGLGCXURULKHGH4VYIF447Q;USA only;Colorado
3W5GRRGZIK6VPS6ZSACMO6YNME;USA only;San Francisco, California
3WXYQPXZ5H5CSJYSJY43ERSESU;Undetermined;none
3XB7Z4ZAXNFZACFTQYQSLSJKEQ;USA only;Louisiana
3XD3GDR7D7DQMIQVCAH4VUYOKM;Undetermined;none
3XHFP7MDX5SMGARUEBKPQBWEWE;Non-USA;UK
3XIGKYBWIBPXUW4X6LIG4DYUTA;USA only;Twin Cities, Minnesota
3XWFRQ7JQBTBHDA6VZWVSMAVBQ;USA only;Virginia
3XY3ZTLQ4ZIZUXYKYR5FF6WXGA;Non-USA;Sweden
3YK2QPQMRIM6MAJWIYPDRBNSKA;Non-USA;London
3YV62VFZMS65BEVJ5PGMNWWA54;USA only;Minnesota
3ZRDJYATYNGTYOAT5YPWQL27P4;USA only;Quakertown, Pennsylvania
3ZSMTOHXVCV6HHA5FTQC63IGMU;USA only;Texas
422EJERDCBDWS5LZ3YTCPEB5YY;Non-USA;Brazil
423AIY4CJ6VBFAVGOHN75VA3XM;USA only;South California
42AEX2QMRJNHNMY5XTT7VDFKX4;USA only;San Jose, California
42AHKPMXXLIBM4KXAJUQ2SHFZU;Undetermined;none
42OWJLTAFHRMC6X4VV2G7QZCDY;USA only;California
4322EGKQNRGMINCLBYRHL5OOXU;Non-USA;Singapore
432YKLALGX6X5XZ4DQLPGERUZY;Undetermined;none
43PZRSPUWJ56FWRH7M4ASNKKPU;Undetermined;none
44BJLTEAQ5SVIHP5MPJWPSRH5E;Non-USA;Spain
44CSIFW4XG3WQZQUMJJDVJK5AA;Undetermined;none
